Income,Home Ownership,Year Of Residence,Age,Fee,Reward program,owner_year,age_fee2,Deliveryperiod,Subscriber
0.7527647,1,-1.065942234,0.321046239,-0.81592058,0,-0.885036121,-0.20269403,-0.784884206,0
2.342330361,1,0.718255336,0.653243235,-0.339900526,0,0.778143647,-0.383870459,-0.784884206,0
-0.249884409,1,-0.811056866,-1.672135735,0.811760895,0,-0.647439012,-0.40496573,1.274073287,0
-0.249884409,1,-0.641133288,0.653243235,-0.339900526,1,-0.489040938,-0.383870459,-0.784884206,1
0.263667574,1,1.737796805,1.317637227,1.195648036,0,1.728532086,0.624116839,-0.784884206,0
-0.152064983,1,-1.065942234,-1.339938739,0.043986614,1,-0.885036121,-0.36651287,-0.784884206,0
0.019119011,1,2.16260575,-0.210468954,0.811760895,0,2.124527268,-0.290848055,1.274073287,0
-0.885705782,0,-0.980980445,-1.672135735,-0.81592058,0,-0.964235158,-0.175236462,-0.784884206,0
-0.249884409,1,0.718255336,0.653243235,0.043986614,0,0.778143647,-0.398875405,-0.784884206,0
-0.152064983,1,-0.726095077,1.516955424,0.811760895,0,-0.568239975,0.217547725,1.274073287,0
-0.83680096,1,-0.046400765,1.516955424,0.427873755,0,0.065352318,-0.155226855,-0.784884206,0
-0.445523259,0,-1.065942234,-1.007741744,0.043986614,0,-0.964235158,-0.383433171,1.274073287,0
2.342330361,1,-0.641133288,-1.672135735,-0.81592058,0,-0.489040938,-0.175236462,-0.784884206,0
-0.64116211,0,1.312987859,-0.675544748,-0.911892365,0,-0.964235158,-0.149861935,-0.784884206,0
0.508216137,1,1.652835016,0.653243235,-0.627815882,0,1.649333049,-0.298665458,-0.784884206,0
0.7527647,1,-0.216324343,-0.011150756,0.043986614,0,-0.093045756,-0.406530455,-0.784884206,0
0.019119011,1,1.22802607,0.653243235,0.043986614,0,1.253337866,-0.398875405,-0.784884206,0
-0.64116211,1,0.293446391,0.321046239,-0.339900526,0,0.382148464,-0.374368491,-0.784884206,0
-0.543342684,1,1.482911437,0.653243235,0.043986614,0,1.490934976,-0.398875405,1.274073287,0
-0.347703834,1,0.37840818,-0.011150756,-0.81592058,0,0.4613475,-0.198238053,-0.784884206,0
-0.445523259,0,-1.065942234,-1.007741744,-0.81592058,0,-0.964235158,-0.184581557,-0.784884206,0
-0.885705782,0,-0.980980445,0.653243235,0.043986614,0,-0.964235158,-0.398875405,-0.784884206,0
-0.347703834,1,0.718255336,-0.011150756,1.963422316,0,0.778143647,0.578524578,1.274073287,0
-0.152064983,1,-0.046400765,-0.343347752,-0.911892365,0,0.065352318,-0.149959406,-0.784884206,0
1.119587545,1,-0.896018655,-1.007741744,-0.81592058,0,-0.726638048,-0.184581557,1.274073287,0
-0.64116211,0,-1.065942234,-0.343347752,-0.339900526,0,-0.964235158,-0.350398261,-0.784884206,0
-0.347703834,1,0.463369969,0.653243235,-0.81592058,0,0.540546537,-0.207101717,-0.784884206,0
-0.64116211,1,-1.065942234,-0.343347752,0.811760895,0,-0.885036121,-0.313194455,-0.784884206,0
-0.83680096,0,-0.641133288,-1.007741744,0.043986614,0,-0.964235158,-0.383433171,-0.784884206,0
-0.83680096,0,-0.980980445,-1.871453932,0.043986614,0,-0.964235158,-0.329850044,-0.784884206,0
-0.738981535,0,-1.065942234,1.317637227,0.427873755,0,-0.964235158,-0.194063527,-0.784884206,0
0.508216137,1,-0.896018655,-0.011150756,0.427873755,0,-0.726638048,-0.369739643,-0.784884206,1
-0.249884409,1,1.567873226,0.321046239,0.811760895,1,1.570134012,-0.177518149,1.274073287,0
3.809626632,1,0.038561024,-0.675544748,0.043986614,0,0.144551354,-0.395742993,-0.784884206,0
1.119587545,1,2.077643961,1.516955424,0.043986614,0,2.045328232,-0.361352225,-0.784884206,0
-0.885705782,0,0.37840818,-0.343347752,-0.911892365,0,-0.964235158,-0.149959406,-0.784884206,0
0.508216137,1,0.463369969,0.653243235,0.043986614,0,0.540546537,-0.398875405,-0.784884206,0
-0.347703834,1,0.548331758,0.653243235,0.811760895,0,0.619745574,-0.0872322,1.274073287,0
-0.64116211,1,-0.386247921,-1.339938739,-0.627815882,0,-0.251443829,-0.234266279,-0.784884206,0
-0.83680096,1,-0.046400765,0.321046239,-0.81592058,0,0.065352318,-0.20269403,-0.784884206,1
1.119587545,1,0.718255336,0.653243235,0.811760895,0,0.778143647,-0.0872322,1.274073287,0
2.342330361,1,0.37840818,-0.343347752,-0.81592058,0,0.4613475,-0.19373408,-0.784884206,0
-0.83680096,0,-0.47120971,1.317637227,-0.81592058,0,-0.964235158,-0.215772512,1.274073287,0
3.809626632,1,0.888178914,-0.011150756,-0.911892365,0,0.93654172,-0.150056878,-0.784884206,1
-0.885705782,1,-0.47120971,-1.871453932,0.043986614,0,-0.330642865,-0.329850044,-0.784884206,0
-0.249884409,1,2.077643961,0.985440231,0.043986614,0,2.045328232,-0.388131938,-0.784884206,0
-0.249884409,1,1.058102492,1.317637227,-0.81592058,0,1.094939793,-0.215772512,-0.784884206,0
-0.543342684,1,1.737796805,1.317637227,-0.81592058,0,1.728532086,-0.215772512,-0.784884206,0
0.019119011,1,-0.301286132,0.321046239,-0.81592058,0,-0.172244792,-0.20269403,-0.784884206,0
-0.885705782,0,-0.47120971,0.653243235,0.811760895,0,-0.964235158,-0.0872322,1.274073287,0
-0.885705782,0,-0.131362554,1.516955424,-0.339900526,0,-0.964235158,-0.400828238,1.274073287,0
-0.885705782,0,-0.726095077,-1.871453932,-0.339900526,0,-0.964235158,-0.270137928,1.274073287,0
-0.249884409,1,-0.046400765,-0.675544748,-0.911892365,0,0.065352318,-0.149861935,-0.784884206,0
-0.249884409,0,-0.47120971,-0.675544748,-0.911892365,0,-0.964235158,-0.149861935,-0.784884206,0
